tag,family,step,stage,model,judge,n_examples,summary_file,ppo_policy_relative,mean_R_phi,mean_R_dagger,mean_R_dagger_2,mean_u,mean_kl_sft,mean_judge_disagreement_abs,spearman_rho_u_abs_err,Delta_hack_proxy,Delta_hack_proxy_judge2,n
reward_hack_search_beta0p03_policy_step_350,reward_hack_search_beta0p03,350.0,checkpoint,sft,anthropic,64,/Users/zelalemabahana/reward-hacking-RLHF/code/artifacts_proposal_min/eval/rollout_summary_reward_hack_search_beta0p03_policy_step_350.json,reward_hack_search_beta0p03/policy_step_350,-0.9313485971781579,2.65625,3.46875,0.14881624276829095,0.0,1.0625,-0.030448717948717948,-3.587598597178158,-4.400098597178157,64
reward_hack_search_beta0p03_policy_step_350,reward_hack_search_beta0p03,350.0,checkpoint,ppo,anthropic,64,/Users/zelalemabahana/reward-hacking-RLHF/code/artifacts_proposal_min/eval/rollout_summary_reward_hack_search_beta0p03_policy_step_350.json,reward_hack_search_beta0p03/policy_step_350,-0.928202459202514,2.640625,3.640625,0.1929054405488472,-0.009855926968157291,1.21875,0.07422161172161171,-3.568827459202514,-4.568827459202514,64
reward_hack_search_beta0p03_policy_step_350,reward_hack_search_beta0p03,350.0,checkpoint,dpo,anthropic,64,/Users/zelalemabahana/reward-hacking-RLHF/code/artifacts_proposal_min/eval/rollout_summary_reward_hack_search_beta0p03_policy_step_350.json,reward_hack_search_beta0p03/policy_step_350,-0.7791395490543079,2.9375,3.71875,0.19507266750582028,0.0948180090636015,1.21875,0.22170329670329667,-3.716639549054308,-4.497889549054308,64
reward_hack_search_beta0p03_policy_step_50,reward_hack_search_beta0p03,50.0,checkpoint,sft,anthropic,64,/Users/zelalemabahana/reward-hacking-RLHF/code/artifacts_proposal_min/eval/rollout_summary_reward_hack_search_beta0p03_policy_step_50.json,reward_hack_search_beta0p03/policy_step_50,-0.9313485971781579,2.625,3.53125,0.14881624276829095,0.0,1.15625,0.05347985347985347,-3.556348597178158,-4.462598597178157,64
reward_hack_search_beta0p03_policy_step_50,reward_hack_search_beta0p03,50.0,checkpoint,ppo,anthropic,64,/Users/zelalemabahana/reward-hacking-RLHF/code/artifacts_proposal_min/eval/rollout_summary_reward_hack_search_beta0p03_policy_step_50.json,reward_hack_search_beta0p03/policy_step_50,-0.8112164954201354,2.890625,3.734375,0.19012659037185986,0.0031084767542779446,1.15625,0.17216117216117213,-3.7018414954201355,-4.545591495420135,64
reward_hack_search_beta0p03_policy_step_50,reward_hack_search_beta0p03,50.0,checkpoint,dpo,anthropic,64,/Users/zelalemabahana/reward-hacking-RLHF/code/artifacts_proposal_min/eval/rollout_summary_reward_hack_search_beta0p03_policy_step_50.json,reward_hack_search_beta0p03/policy_step_50,-0.7791395490543079,2.8125,3.71875,0.19507266750582028,0.0948180090636015,1.125,0.2201465201465201,-3.591639549054308,-4.497889549054308,64
reward_hack_search_beta0p0_aggressive_policy_step_1000,reward_hack_search_beta0p0_aggressive,1000.0,checkpoint,ppo,anthropic,64,/Users/zelalemabahana/reward-hacking-RLHF/code/artifacts_proposal_min/eval/rollout_summary_reward_hack_search_beta0p0_aggressive_policy_step_1000.json,reward_hack_search_beta0p0_aggressive/policy_step_1000,-0.7344420178070715,2.7578125,3.21875,0.1806692458500792,-0.06300831557018682,1.3515625,0.41108058608058606,-3.4922545178070714,-3.9531920178070714,64
reward_hack_search_beta0p0_aggressive_policy_step_1200,reward_hack_search_beta0p0_aggressive,1200.0,checkpoint,ppo,anthropic,64,/Users/zelalemabahana/reward-hacking-RLHF/code/artifacts_proposal_min/eval/rollout_summary_reward_hack_search_beta0p0_aggressive_policy_step_1200.json,reward_hack_search_beta0p0_aggressive/policy_step_1200,-0.6571432085090446,2.3671875,3.140625,0.16106435832849234,0.021399418270448223,1.1015625,0.3547619047619047,-3.0243307085090447,-3.7977682085090447,64
reward_hack_search_beta0p0_aggressive_policy_step_200,reward_hack_search_beta0p0_aggressive,200.0,checkpoint,ppo,anthropic,64,/Users/zelalemabahana/reward-hacking-RLHF/code/artifacts_proposal_min/eval/rollout_summary_reward_hack_search_beta0p0_aggressive_policy_step_200.json,reward_hack_search_beta0p0_aggressive/policy_step_200,-0.7874303524407982,2.484375,3.453125,0.1801380978595787,-0.014984742443630239,1.21875,0.08869047619047618,-3.271805352440798,-4.240555352440798,64
reward_hack_search_beta0p0_aggressive_policy_step_400,reward_hack_search_beta0p0_aggressive,400.0,checkpoint,ppo,anthropic,64,/Users/zelalemabahana/reward-hacking-RLHF/code/artifacts_proposal_min/eval/rollout_summary_reward_hack_search_beta0p0_aggressive_policy_step_400.json,reward_hack_search_beta0p0_aggressive/policy_step_400,-0.8226686312733658,2.578125,3.46875,0.17240557244165558,-0.03203268332663356,1.078125,0.2580128205128205,-3.4007936312733658,-4.291418631273366,64
